#{"t_start": 1783524560.5107722, "env_id": "None"}
r,l,t
-4.9,149,1.940538
-7.4,174,1.995096
3.1,69,2.017203
-0.3,103,2.049313
-2.9,129,2.092614
3.1,69,2.115342
-8.9,189,2.176465
5.4,46,2.191548
3.3,67,2.212465
4.1,59,2.231435
3.6,64,2.252587
-33.3,433,2.402404
1.2,88,2.433294
7.9,21,2.440323
5.5,45,2.455394
1.6,84,2.485519
4.6,54,2.506205
6.6,34,2.518236
6.7,33,2.528446
-3.8,138,2.574364
0.3,97,3.59556
6.1,39,3.614106
3.8,62,3.638731
0.3,97,3.691237
6.9,31,3.705768
6.7,33,3.7198
4.3,57,3.742306
7.9,21,3.750354
4.3,57,3.768972
5.9,41,3.780209
9.1,9,3.783818
6.6,34,3.7944
-1.4,114,3.830874
4.6,54,3.849557
2.3,77,3.873717
7.2,28,3.88125
6.2,38,3.89343
7.2,28,3.903461
5.3,47,3.917734
7.6,24,3.9295
0.7,93,3.958568
6.5,35,3.969591
4.0,60,3.988632
6.9,31,3.999183
5.8,42,4.013322
8.6,14,4.017847
8.0,20,4.023852
5.7,43,4.037895
5.5,45,4.052461
7.5,25,4.060979
2.5,75,4.08494
4.9,51,4.101515
7.3,27,4.109085
7.3,27,4.118113
4.5,55,4.13623
6.2,38,4.148317
7.7,23,4.155354
8.4,16,4.16034
6.9,31,4.170704
0.9,91,4.199306
0.8,92,4.227849
-1.6,116,4.266074
8.0,20,5.331305
8.2,18,5.344326
7.9,21,5.360379
8.7,13,5.368402
7.9,21,5.376432
4.1,59,5.414677
8.6,14,5.426186
5.9,41,5.447223
4.9,51,5.467259
6.6,34,5.480267
4.8,52,5.505425
8.8,12,5.515445
8.7,13,5.524477
6.0,40,5.537512
8.1,19,5.543024
6.3,37,5.554576
7.8,22,5.561574
8.3,17,5.566611
8.9,11,5.570611
5.6,44,5.584254
8.1,19,5.589797
8.8,12,5.59402
5.3,47,5.615212
6.4,36,5.626341
7.1,29,5.644503
5.2,48,5.664274
6.5,35,5.67542
8.4,16,5.680415
7.2,28,5.689071
7.3,27,5.698196
8.3,17,5.702803
8.0,20,5.708427
9.2,8,5.711425
8.2,18,5.717979
5.8,42,5.731016
8.6,14,5.73504
8.1,19,5.741053
6.4,36,5.753201
8.0,20,5.760214
7.6,24,5.768279
7.7,23,5.775724
5.0,50,5.792351
8.0,20,5.798726
9.0,10,5.802712
8.4,16,5.807238
6.7,33,5.818683
7.6,24,5.826731
7.8,22,5.834641
7.0,30,5.844176
7.5,25,5.852716
