#{"t_start": 1783543244.1347098, "env_id": "None"}
r,l,t
21.6,274,207.856867
14.1,189,208.066953
8.4,21,208.077959
11.0,120,208.131435
10.4,106,208.178321
10.9,106,208.224442
10.8,12,208.2302
10.8,67,208.25834
13.1,29,208.275873
8.6,29,208.293868
13.2,113,208.338743
8.6,74,208.367328
12.7,328,208.484106
13.3,117,208.523227
11.8,57,208.549133
10.8,22,208.556125
11.8,257,208.639659
12.3,107,208.674537
8.2,28,210.300906
12.3,52,210.335915
13.5,50,210.367488
10.1,49,210.408484
20.6,139,210.521306
9.6,14,210.528329
11.2,23,210.538851
13.1,24,210.550889
10.5,30,210.567876
11.1,14,210.577403
10.4,16,210.58542
10.8,42,210.610063
10.0,20,210.619058
11.4,21,210.628073
11.0,10,210.633084
11.0,10,210.637083
12.1,39,210.65365
9.3,47,210.673179
14.7,38,210.689234
11.0,60,210.713607
11.4,26,210.724648
12.2,23,210.73263
11.6,29,210.746299
13.1,39,210.763835
9.0,20,210.771832
14.4,56,210.793067
12.3,32,210.807389
11.1,9,210.812388
10.6,39,210.828432
10.5,25,210.845455
10.1,44,210.877007
13.6,54,210.902004
9.5,20,210.909002
11.7,13,210.913001
11.5,25,210.921001
14.2,118,210.960541
11.1,59,210.979074
15.1,59,210.997611
11.6,34,211.008945
14.1,79,211.033949
10.0,25,211.043474
9.9,26,211.051483
17.2,83,211.080044
11.7,38,211.094041
10.9,101,211.128055
10.8,42,211.140595
11.5,15,211.145613
14.0,30,211.155623
11.1,19,211.162133
11.2,38,211.174159
10.8,52,211.212785
11.8,27,211.229804
12.4,36,211.246325
9.4,46,212.712486
14.8,47,212.754008
11.3,32,212.781518
11.1,19,212.802517
12.4,21,212.824517
11.8,12,212.837521
13.5,25,212.863871
11.9,26,212.880885
10.5,15,212.887886
11.3,12,212.894881
11.3,22,212.90488
10.6,14,212.911879
11.8,32,212.927878
12.6,34,212.943894
10.6,24,212.954423
11.9,16,212.961423
10.2,18,212.969955
9.2,18,212.978977
11.8,22,212.988882
11.0,25,213.002039
10.6,24,213.012038
10.9,11,213.017038
12.5,25,213.032049
11.9,26,213.043038
11.1,19,213.052555
13.5,20,213.060555
12.1,19,213.068073
10.8,47,213.088073
10.7,8,213.091074
11.3,12,213.096073
9.0,15,213.101874
12.4,21,213.110874
11.3,12,213.115875
9.3,42,213.131875
8.1,29,213.142882
10.4,16,213.148882
12.2,18,213.156399
11.7,13,213.161412
12.0,20,213.168972
10.9,31,213.179958
12.4,61,213.202957
10.5,10,213.205958
13.2,23,213.214958
10.6,34,213.227958
12.0,55,213.246965
10.9,16,213.25348
11.1,34,213.265502
12.5,20,213.273501
13.6,24,213.281501
11.3,22,213.289501
12.1,19,213.295501
12.1,19,213.302502
15.1,44,213.317501
11.2,18,213.323501
11.1,39,213.337508
12.5,35,213.349509
9.1,54,213.373614
11.4,26,213.383644
12.7,18,213.388612
11.0,20,213.395646
11.2,28,213.406627
10.7,18,213.417626
12.2,13,213.423612
10.3,17,213.431629
12.4,21,213.43864
12.1,24,213.445644
7.6,34,213.464699
9.5,35,213.482799
8.6,34,213.502795
14.9,41,213.517792
12.3,32,213.5307
10.9,21,213.5448
10.3,32,213.560428
8.9,21,213.573954
9.1,14,213.580472
12.8,57,213.597469
18.9,106,213.627469
10.0,15,215.13141
13.9,26,215.161951
12.4,11,215.17446
12.4,16,215.18446
11.6,9,215.18946
11.2,13,215.199464
11.4,11,215.206467
