Episode,CumulativeReward,Steps,Latency
1,5.7,3,0.166
2,10.5,5,0.266
3,4.9,1,0.045
4,5.3,2,0.124
5,4.9,1,0.064
6,15.2,8,0.282
7,9.7,3,0.114
8,4.9,1,0.069
9,4.9,1,0.063
10,4.9,1,0.061
11,10.8,7,0.406
12,8.9,6,0.252
13,6.8,2,0.124
14,11.0,5,0.283
15,17.1,9,0.494
16,6.8,2,0.108
17,14.1,9,0.405
18,21.7,13,0.576
19,8.1,4,0.178
20,5.8,2,0.109
21,10.4,6,0.355
22,11.6,4,0.182
23,17.2,8,0.374
24,15.2,8,0.407
25,7.2,3,0.123
26,8.6,4,0.248
27,4.9,1,0.046
28,9.1,4,0.169
29,5.8,2,0.109
30,12.8,7,0.373
31,7.7,3,0.176
32,10.6,4,0.17
33,7.8,2,0.098
34,4.9,1,0.046
35,6.7,3,0.123
36,4.9,1,0.03
37,11.3,7,0.393
38,13.3,7,0.417
39,5.3,2,0.124
40,12.4,6,0.31
41,4.9,1,0.065
42,7.8,2,0.032
43,16.9,11,0.427
44,27.1,14,0.688
45,8.6,4,0.176
46,4.9,1,0.061
47,5.3,2,0.075
48,4.9,1,0.051
49,6.2,3,0.125
50,15.1,9,0.436
