Episode,CumulativeReward,Steps,Latency
1,7.7,3,83.955
2,19.1,9,0.448
3,9.6,4,0.231
4,16.8,12,0.603
5,5.8,2,0.076
6,12.6,4,0.25
7,12.9,6,0.356
8,9.4,6,0.328
9,10.1,4,0.233
10,6.8,2,0.11
11,9.5,5,0.272
12,4.9,1,0.05
13,4.9,1,0.048
14,8.2,3,0.161
15,9.1,4,0.223
16,6.8,2,0.097
17,6.2,3,0.158
18,4.9,1,0.064
19,25.6,14,0.809
20,14.6,9,0.419
21,7.7,3,0.123
22,9.6,4,0.217
23,4.9,1,0.03
24,9.1,4,0.215
25,9.0,5,0.212
26,5.8,2,0.084
27,4.9,1,0.062
28,4.9,1,0.043
29,4.9,1,0.061
30,5.8,2,0.093
31,4.9,1,0.046
32,7.2,3,0.143
33,16.3,7,0.343
34,8.7,3,0.15
35,4.9,1,0.062
36,4.9,1,0.035
37,28.1,14,0.702
38,14.5,5,0.276
39,10.1,4,0.204
40,15.4,6,0.239
41,6.8,2,0.113
42,4.9,1,0.039
43,4.9,1,0.031
44,7.7,3,0.143
45,7.8,2,0.075
46,12.3,7,0.278
47,8.7,3,0.139
48,4.9,1,0.021
49,4.9,1,0.033
50,4.9,1,0.035
